
SPY,20180323,258.05
SPY,20180322,263.67
SPY,20180321,270.43
SPY,20180320,270.95
SPY,20180319,270.49
SPY,20180316,274.2
SPY,20180315,275
SPY,20180314,275.3
SPY,20180313,276.72
SPY,20180312,278.52
SPY,20180309,278.87
SPY,20180308,274.1
SPY,20180307,272.78
SPY,20180306,272.88
SPY,20180305,272.19
SPY,20180302,269.08
SPY,20180301,267.7
SPY,20180228,271.65
SPY,20180227,274.43
SPY,20180226,277.9
SPY,20180223,274.71
SPY,20180222,270.4
SPY,20180221,270.05
SPY,20180220,271.4
SPY,20180216,273.11
SPY,20180215,273.03
SPY,20180214,269.5
SPY,20180213,266
SPY,20180212,265.34
SPY,20180209,261.5
SPY,20180208,257.63
SPY,20180207,267.67
SPY,20180206,269.13
SPY,20180205,263.93
SPY,20180202,275.45
SPY,20180201,281.58
SPY,20180131,281.9
